length,complexity
67,0.10238805970149255
57,0.12631578947368421
74,0.10765765765765767
58,0.11436781609195404
50,0.11000000000000001
50,0.11933333333333335
58,0.12192118226600986
72,0.12083333333333335
69,0.12608695652173912
61,0.12014051522248244
57,0.12631578947368421
69,0.13043478260869565
60,0.11333333333333334
57,0.23157894736842105
62,0.1195852534562212
42,0.13571428571428573
45,0.13333333333333333
45,0.14
28,0.15357142857142858
34,0.22411764705882356
47,0.23829787234042554
45,0.23333333333333334
