length,complexity
50,0.11933333333333335
50,0.11000000000000001
74,0.10765765765765767
61,0.12014051522248244
69,0.12608695652173912
53,0.1339622641509434
72,0.12083333333333335
69,0.13043478260869565
57,0.23157894736842105
67,0.10238805970149255
57,0.12631578947368421
57,0.12631578947368421
58,0.08103448275862069
42,0.13571428571428573
28,0.15357142857142858
45,0.14
46,0.13260869565217392
45,0.13333333333333333
41,0.2369337979094077
43,0.11488372093023258
34,0.22411764705882356
29,0.15172413793103448
