length,complexity
60,0.11333333333333334
57,0.12631578947368421
67,0.10238805970149255
58,0.08103448275862069
61,0.12014051522248244
72,0.12083333333333335
53,0.1339622641509434
62,0.1195852534562212
58,0.12192118226600986
58,0.11436781609195404
57,0.12631578947368421
45,0.23333333333333334
45,0.13333333333333333
41,0.2369337979094077
46,0.13260869565217392
47,0.23829787234042554
29,0.15172413793103448
34,0.22411764705882356
28,0.15357142857142858
45,0.14
42,0.13571428571428573
43,0.11488372093023258
